ID,Category,Question,Answer,Difficulty
95,AI (Data Science),Explain what an independent variable is.,Answer: An independent variable is a variable that is manipulated or controlled in an experiment to test its effects on the dependent variable.,Easy
96,AI (Data Science),What is a dependent variable?,Answer: A dependent variable is the outcome or response variable that is measured to assess the effect of changes in the independent variable.,Easy
97,AI (Data Science),What is feature extraction?,Answer: Feature extraction involves creating new features from raw data based on existing features to improve model performance and reduce dimensionality.,Medium
98,AI (Data Science),What is a time series?,"Answer: A time series is a sequence of data points indexed in time order, often used for forecasting future values based on past observations.",Easy
99,AI (Data Science),What is a non-parametric test?,"Answer: A non-parametric test is a statistical test that does not assume a specific distribution for the data, making it suitable for ordinal or nominal data.",Hard
100,AI (Data Science),Can you explain what a t-test is?,Answer: A t-test is a statistical test used to compare the means of two groups to determine if they are significantly different from each other.,Medium
101,AI (Data Science),What is the role of the optimizer in machine learning?,"Answer: An optimizer adjusts the model parameters to minimize the loss function, improving the model's performance during training.",Medium
102,AI (Data Science),What is a chi-square test?,Answer: A chi-square test assesses the association between categorical variables by comparing observed frequencies to expected frequencies under the null hypothesis.,Medium
103,AI (Data Science),What is a z-score?,"Answer: A z-score measures how many standard deviations a data point is from the mean, indicating its relative position within a distribution.",Easy
104,AI (Data Science),What is a statistical power?,"Answer: Statistical power is the probability that a statistical test will correctly reject a false null hypothesis, indicating the test's ability to detect an effect if one exists.",Hard
105,AI (Data Science),Explain what logistic regression is.,Answer: Logistic regression is a statistical model used for binary classification that predicts the probability of an outcome based on one or more predictor variables.,Medium
106,AI (Data Science),What are the assumptions of linear regression?,"Answer: Assumptions of linear regression include linearity, independence, homoscedasticity, normality of errors, and no multicollinearity among predictors.",Hard
107,AI (Data Science),What is a survival analysis?,"Answer: Survival analysis is a statistical approach used to analyze time-to-event data, often used in medical research to study time until an event like death occurs.",Hard
108,AI (Data Science),What is a quantitative variable?,"Answer: A quantitative variable is a numerical variable that can be measured and expressed in terms of quantity, such as height or weight.",Easy
109,AI (Data Science),What is a qualitative variable?,"Answer: A qualitative variable is a categorical variable that describes characteristics or attributes, such as color or type, and cannot be measured numerically.",Easy
110,AI (Data Science),What is the difference between a sample statistic and a population parameter?,"Answer: A sample statistic is calculated from a sample, while a population parameter is a value that describes a characteristic of an entire population.",Medium
111,AI (Data Science),What is a normal distribution?,"Answer: A normal distribution is a probability distribution that is symmetric around the mean, showing that data near the mean are more frequent in occurrence.",Easy
112,AI (Data Science),What is a histogram used for?,"Answer: A histogram is used to visualize the distribution of a dataset, showing the frequency of data points within specified ranges or bins.",Easy
113,AI (Data Science),What is a Pareto chart?,"Answer: A Pareto chart is a bar graph that displays the frequency or impact of problems in descending order, often used to identify the most significant factors in a dataset.",Medium
114,AI (Data Science),What is a heatmap?,"Answer: A heatmap is a data visualization technique that uses color to represent the values of a matrix or data table, indicating density or concentration of values.",Easy
115,AI (Data Science),What is the purpose of exploratory data analysis (EDA)?,"Answer: The purpose of EDA is to analyze datasets to summarize their main characteristics, often using visual methods to understand patterns and relationships.",Medium
116,AI (Data Science),What is a residual plot?,Answer: A residual plot visualizes the residuals (differences between observed and predicted values) to assess the goodness of fit of a regression model.,Medium
117,AI (Data Science),What is an outlier?,"Answer: An outlier is a data point that significantly deviates from the other observations in a dataset, potentially indicating variability or measurement error.",Easy
118,AI (Data Science),What is the purpose of data augmentation?,Answer: Data augmentation artificially increases the size of a training dataset by creating modified versions of existing data points to improve model robustness.,Medium
119,AI (Data Science),What is the purpose of a design of experiments (DOE)?,"Answer: DOE is a systematic method for planning experiments to optimize factors influencing a process, allowing for efficient data collection and analysis.",Hard
120,AI (Data Science),What is a kernel in the context of SVM?,"Answer: A kernel is a function that transforms data into a higher-dimensional space to make it easier to classify, allowing SVM to find non-linear decision boundaries.",Medium
121,AI (Data Science),What are the key differences between bagging and boosting?,"Answer: Bagging reduces variance by averaging predictions of multiple models trained independently, while boosting reduces bias by sequentially training models that focus on errors made by previous ones.",Hard
122,AI (Data Science),What is the importance of data quality in machine learning?,Answer: High data quality ensures accurate and reliable model predictions; poor quality data can lead to misleading results and ineffective models.,Medium
123,AI (Data Science),Explain what a scatter matrix is.,"Answer: A scatter matrix is a grid of scatter plots that shows the relationships between multiple variables in a dataset, helping to visualize correlations.",Medium
124,AI (Data Science),What is a decision boundary?,"Answer: A decision boundary is a hypersurface that separates different classes in a classification problem, determining the predicted class for new data points.",Medium
125,AI (Data Science),What are the characteristics of a good feature?,"Answer: Good features are relevant, informative, independent, and contribute to the predictive power of the model, enhancing its performance.",Medium
126,AI (Data Science),What is a learning curve?,"Answer: A learning curve is a graphical representation that shows how a model's performance improves with increasing training data, indicating the effects of training on accuracy.",Medium
127,AI (Data Science),What is the importance of the ROC-AUC score in binary classification?,"Answer: The ROC-AUC score provides a single measure of a model's ability to discriminate between classes across all thresholds, with values closer to 1 indicating better performance.",Medium
128,AI (Data Science),What is the role of cross-entropy loss in classification problems?,"Answer: Cross-entropy loss quantifies the difference between the predicted probability distribution and the true distribution, guiding model optimization in classification tasks.",Medium
129,AI (Data Science),Explain what a bias-variance tradeoff is.,Answer: The bias-variance tradeoff involves balancing the error due to bias (underfitting) and variance (overfitting) to achieve optimal model performance.,Hard
130,AI (Data Science),What is a categorical variable?,Answer: A categorical variable represents discrete categories or groups and can be nominal (no order) or ordinal (with a meaningful order).,Easy
131,AI (Data Science),Explain what a random variable is.,"Answer: A random variable is a numerical outcome of a random phenomenon, which can be discrete (specific values) or continuous (any value within a range).",Medium
132,AI (Data Science),What is the purpose of a statistical hypothesis?,Answer: A statistical hypothesis is a statement or assumption that can be tested using statistical methods to determine its validity based on sample data.,Medium
133,AI (Data Science),What are the steps in hypothesis testing?,"Answer: Steps include stating the null and alternative hypotheses, choosing a significance level, calculating the test statistic, and making a decision based on the p-value.",Medium
134,AI (Data Science),What is the significance of R-squared in regression analysis?,"Answer: R-squared measures the proportion of variance in the dependent variable explained by the independent variables in a regression model, indicating goodness of fit.",Medium
135,AI (Data Science),What is a sample space in probability?,"Answer: A sample space is the set of all possible outcomes of a random experiment, providing the foundation for probability calculations.",Medium
136,AI (Data Science),What is a multinomial distribution?,"Answer: A multinomial distribution generalizes the binomial distribution for scenarios with more than two possible outcomes, representing counts of outcomes in multiple categories.",Hard
137,AI (Data Science),What is the purpose of a principal component in PCA?,"Answer: Principal components are the new orthogonal axes that maximize the variance in the data, effectively reducing dimensionality while retaining important information.",Hard
138,AI (Data Science),What is the difference between correlation and causation?,"Answer: Correlation indicates a relationship between two variables, while causation implies that one variable directly affects the other, which requires further analysis to establish.",Medium
139,AI (Data Science),What is a Gaussian distribution?,"Answer: A Gaussian distribution, or normal distribution, is a symmetrical probability distribution characterized by its mean and standard deviation, with the majority of observations clustering around the mean.",Easy
140,AI (Data Science),What is a non-linear model?,"Answer: A non-linear model is a type of model that captures complex relationships between input and output variables using non-linear functions, allowing for more flexible fitting to data.",Medium
141,AI (Data Science),What is a control group in an experiment?,"Answer: A control group is a baseline group in an experiment that does not receive the treatment or intervention, providing a comparison for the experimental group.",Medium
142,AI (Data Science),"Explain the term ""data mining.""","Answer: Data mining is the process of discovering patterns and extracting valuable information from large datasets using techniques from statistics, machine learning, and database systems.",Medium
143,AI (Data Science),What is a correlation coefficient?,"Answer: A correlation coefficient quantifies the strength and direction of the relationship between two variables, ranging from -1 (perfect negative) to +1 (perfect positive).",Easy
144,AI (Data Science),What is the purpose of a control chart?,"Answer: A control chart is used to monitor the variability of a process over time, helping to identify trends or shifts that may indicate a need for corrective action.",Hard
145,AI (Data Science),What is a statistical significance?,"Answer: Statistical significance indicates that the observed result is unlikely to have occurred by random chance alone, typically assessed using a p-value threshold.",Medium
146,AI (Data Science),What is a Cramer’s V statistic?,"Answer: Cramer’s V statistic measures the strength of association between two nominal variables, ranging from 0 (no association) to 1 (perfect association).",Hard
147,AI (Data Science),What is a linear transformation?,"Answer: A linear transformation is a mathematical operation that modifies a vector in a linear manner, preserving the operations of vector addition and scalar multiplication.",Hard
148,AI (Data Science),What is the purpose of a funnel chart?,"Answer: A funnel chart visualizes stages in a process or journey, showing the progression of data through various stages, often used in marketing and sales.",Medium
149,AI (Data Science),What is an interaction effect in statistics?,Answer: An interaction effect occurs when the effect of one independent variable on a dependent variable changes depending on the level of another independent variable.,Hard
150,AI (Data Science),What is the importance of sampling in statistics?,"Answer: Sampling allows researchers to draw conclusions about a population based on a representative subset, making data collection more feasible and cost-effective.",Easy
151,AI (Data Science),What is the purpose of a probability mass function (PMF)?,"Answer: A probability mass function assigns probabilities to discrete outcomes of a random variable, ensuring that the sum of all probabilities equals one.",Medium
152,AI (Data Science),What is the difference between parametric and non-parametric statistics?,"Answer: Parametric statistics assume a specific distribution for the data, while non-parametric statistics do not rely on distributional assumptions, making them more flexible.",Hard
153,AI (Data Science),What is a line of best fit?,"Answer: A line of best fit is a straight line that best represents the data in a scatter plot, minimizing the distance between the line and the data points.",Medium
154,AI (Data Science),What is a Gaussian mixture model?,Answer: A Gaussian mixture model is a probabilistic model that assumes all data points are generated from a mixture of several Gaussian distributions with unknown parameters.,Hard
155,AI (Data Science),What is a two-sample t-test?,Answer: A two-sample t-test compares the means of two independent groups to determine if there is a statistically significant difference between them.,Medium
156,AI (Data Science),What is the purpose of a box-and-whisker plot?,"Answer: A box-and-whisker plot summarizes the distribution of a dataset by showing its median, quartiles, and potential outliers, providing insights into data spread and symmetry.",Medium
157,AI (Data Science),What is the difference between a mixed-methods and a single-method approach?,"Answer: A mixed-methods approach combines qualitative and quantitative research methods, while a single-method approach relies on either qualitative or quantitative methods alone.",Hard
158,AI (Data Science),What is the role of a data analyst?,"Answer: A data analyst interprets data and transforms it into actionable insights through statistical analysis and visualization, supporting business decision-making.",Easy
159,AI (Data Science),What is the purpose of a normal probability plot?,Answer: A normal probability plot visually assesses whether a dataset follows a normal distribution by plotting observed values against expected values under normality.,Hard
160,AI (Data Science),What is the significance of a confidence interval?,"Answer: A confidence interval provides a range of values within which the true population parameter is likely to fall, reflecting the uncertainty in the estimation process.",Medium
161,AI (Data Science),What is the difference between a qualitative study and a quantitative study?,"Answer: A qualitative study focuses on exploring and understanding phenomena through non-numerical data, while a quantitative study emphasizes measurement and statistical analysis of numerical data.",Hard
162,AI (Data Science),What is the purpose of hypothesis testing in statistics?,"Answer: Hypothesis testing assesses the validity of a claim or hypothesis about a population parameter based on sample data, helping to make data-driven decisions.",Medium
163,AI (Data Science),What is a response variable?,"Answer: A response variable, or dependent variable, is the outcome being measured or predicted in a study, influenced by one or more independent variables.",Easy
164,AI (Data Science),What is a logistic regression model used for?,"Answer: A logistic regression model predicts the probability of a binary outcome based on one or more predictor variables, using the logistic function to model the relationship.",Medium
165,AI (Data Science),What is a regression discontinuity design?,Answer: A regression discontinuity design is a quasi-experimental design that identifies causal effects by comparing outcomes just above and below a predetermined cutoff point.,Hard
166,AI (Data Science),What is the purpose of a scatter plot matrix?,"Answer: A scatter plot matrix visualizes relationships between multiple variables in a dataset by displaying scatter plots for all pairs of variables, facilitating exploratory analysis.",Medium
167,AI (Data Science),What is a data science pipeline?,"Answer: A data science pipeline is a structured workflow that outlines the steps involved in data collection, processing, analysis, and modeling to derive insights and predictions.",Medium
168,AI (Data Science),What is the difference between a continuous variable and a discrete variable?,"Answer: A continuous variable can take any value within a range, while a discrete variable can only take specific, distinct values, often counted or categorized.",Medium
169,AI (Data Science),What is the purpose of a visual data dashboard?,"Answer: A visual data dashboard presents key performance indicators and metrics in a visually intuitive format, enabling quick insights and informed decision-making.",Medium
170,AI (Data Science),What is a random sample?,"Answer: A random sample is a subset of individuals chosen from a larger population in such a way that each individual has an equal chance of being selected, ensuring representativeness.",Medium
171,AI (Data Science),What is the purpose of a cohort study?,"Answer: A cohort study follows a group of individuals over time to observe outcomes, often used in epidemiology to identify risk factors for diseases.",Hard
172,AI (Data Science),What is a cross-sectional study?,"Answer: A cross-sectional study analyzes data from a population at a specific point in time, providing a snapshot of conditions and associations without inferring causality.",Medium
173,AI (Data Science),What is the role of a hypothesis in research?,"Answer: A hypothesis is a testable statement that predicts the relationship between variables, guiding the research design and analysis process.",Medium
174,AI (Data Science),What is a confidence level in statistics?,"Answer: A confidence level indicates the degree of certainty that a parameter falls within a specified confidence interval, commonly set at 95% or 99%.",Medium
175,AI (Data Science),What is a two-way ANOVA?,"Answer: A two-way ANOVA tests the effect of two independent variables on a dependent variable, assessing both individual and interaction effects.",Hard
176,AI (Data Science),What is the purpose of a scatter plot?,"Answer: A scatter plot visualizes the relationship between two continuous variables, allowing for the identification of correlations, trends, and outliers.",Easy
177,AI (Data Science),What is the difference between a bar chart and a histogram?,"Answer: A bar chart displays categorical data with rectangular bars representing counts or percentages, while a histogram visualizes the distribution of continuous data through bins.",Medium
178,AI (Data Science),What is a control variable?,Answer: A control variable is a variable that is held constant in a study to eliminate its influence on the relationship between independent and dependent variables.,Medium
179,AI (Data Science),What is a longitudinal study?,"Answer: A longitudinal study collects data from the same subjects repeatedly over time, allowing researchers to observe changes and trends in behavior or outcomes.",Hard
180,AI (Data Science),What is a variable in research?,"Answer: A variable is any characteristic, number, or quantity that can be measured or counted, often changing over time or across subjects in a study.",Easy
181,AI (Data Science),What is a non-linear regression model?,"Answer: A non-linear regression model describes a relationship between independent and dependent variables that cannot be represented by a straight line, using polynomial or other complex functions.",Hard
182,AI (Data Science),What is a Gantt chart?,"Answer: A Gantt chart is a project management tool that visually represents a project schedule, showing tasks, durations, and dependencies over time.",Medium
183,AI (Data Science),What is the significance of the mean in statistics?,"Answer: The mean is a measure of central tendency that provides an average value of a dataset, summarizing its overall level and serving as a reference point.",Easy
184,AI (Data Science),What is a statistical model?,Answer: A statistical model is a mathematical representation of observed data that describes relationships between variables and can be used for prediction or inference.,Medium
185,AI (Data Science),What is a mixed-methods approach in research?,Answer: A mixed-methods approach combines qualitative and quantitative research methods to provide a comprehensive understanding of a research question.,Hard
